Supports, 1 AN,2 AN, 3 ANS, 4 ANS, 5 ANS, 6 ANS, 7 ANS, 8 ANS, 9 ANS, 10 ANS
Assur Immeuble,2.28,7.64,10.59,12.91,14.63,18.15,24.29,30.31,22.42,25.10
AAA Actions Agro Alimentaire,6.69,2.45,7.90,7.64,9.19,10.42,9.17,10.19,11.93,6.58
Carmignac Investissement,3.98,2.67,1.96,3.82,5.70,06.08,3.52,4.88,8.32,3.63
Harris Associate Global Equity Fund,10.36,8.28,6.98,9.13,12.27,12.60,8.99,10.81,13.10,6.15
Horizon Actions Monde,12.54,6.54,9.62,10.16,12.43,12.47,8.86,8.94,10.63,3.77
Pictet Security,9.27,5.88,9.29,12.26,13.77,13.73,10.50,13.52,15.73,9.67
Seeyond Europe Global Variance,6.47,5.62,7.52,9.44,9.91,9.60,,,,
CPR Silver Age,10.14,01.04,5.22,6.11,9.74,12.17,8.77,,,
DNCA Value Europe,7.95,4.55,8.41,7.36,11.43,12.31,9.63,8.87,10.31,5.40
Dorval Manageurs Europe,21.98,16.17,17.33,14.29,18.05,18.97,,,,
Ecureuil Actions Européennes,8.31,4.21,5.20,5.11,7.60,8.91,5.72,06.01,8.74,1.29
Ecureuil Bénéfices Emploi,12.10,4.73,6.80,6.12,8.22,9.99,5.81,5.59,7.38,
Ecureuil Bénéfices Environnement,11.98,4.15,6.82,7.47,9.46,10.63,07.08,7.52,9.28,
Ecureuil Investissements,10.18,8.51,9.35,7.66,10.52,11.89,7.42,6.42,8.42,2.18
Natixis Actions Euro PME,33.64,22.29,27.39,,,,,,,
Natixis Actions Small & Mid Cap Euro,26.97,12.53,16.96,14.39,17.52,18.72,11.45,13.21,,
Seeyond Europe Min Variance,11.68,3.69,6.88,8.24,9.30,9.84,8.39,,,
VEGA Euro Opportunités,7.81,5.00,6.85,5.40,8.28,10.52,6.76,6.72,8.23,02.09
VEGA France Opportunité,13.43,7.87,10.11,8.43,10.42,12.36,8.93,8.91,10.41,5.14
