Produit,2018,2017,2016
DNCA Value Europe,7.95,4.55,8.41
Dorval Manageurs Europe,21.98,16.17,17.33
Ecureuil Actions Européennes,8.31,4.21,5.20
Ecureuil Bénéfices Emploi,12.10,4.73,6.80
Ecureuil Bénéfices Environnement,11.98,4.15,6.82
Ecureuil Investissements,10.18,8.51,9.35
Natixis Actions Euro PME,33.64,22.29,27.39
Natixis Actions Small & Mid Cap Euro,26.97,12.53,16.96
Seeyond Europe Min Variance,11.68,3.69,6.88
VEGA Euro Opportunités,7.81,5.00,6.85
VEGA France Opportunité,13.43,7.87,10.11
